op,init,input,pytorch_gflops,autotvm_gflops,autotvm_gflops_reported,speedup
'conv2d',"(240, 240, (5, 5), (1, 1), (2, 2), (1, 1), 240, False, 'zeros')","(1, 240, 14, 14)",15.0,37.6,71.96,2.50
'conv2d',"(120, 120, (5, 5), (1, 1), (2, 2), (1, 1), 120, False, 'zeros')","(1, 120, 14, 14)",7.8,27.9,75.70,3.59
'conv2d',"(144, 144, (5, 5), (1, 1), (2, 2), (1, 1), 144, False, 'zeros')","(1, 144, 14, 14)",9.5,25.5,52.46,2.68
'conv2d',"(288, 288, (5, 5), (2, 2), (2, 2), (1, 1), 288, False, 'zeros')","(1, 288, 14, 14)",4.9,14.8,34.21,2.99
'conv2d',"(576, 576, (5, 5), (1, 1), (2, 2), (1, 1), 576, False, 'zeros')","(1, 576, 7, 7)",9.9,28.5,60.70,2.89
